First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary,Model of Communication,Frequency,Outcome
Allison,Bailey,Davis-Gonzales,251 Lopez Road,Hickstown,Montana,61227,Huge now attorney change executive language month important dinner several Congress person avoid.,Cleaning,30-12-2024,41,Occasional,"Quantity surveyor, with interest in property management","2024-02-09, 2023-07-12 - 2024-12-30","Quantity surveyor, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 41 units of Cleaning on 2024-02-09.",Emailed,Occasional,Scheduled Appointment
Lisa,Lowe,Anderson-Sanchez,6490 Wu Terrace,Jessicaside,Maine,7549,None meet present let describe worker arrive protect realize tend environment draw.,Rental Package,06-12-2024,19,Frequent,"Midwife, with interest in property management","2024-05-18, 2023-12-25 - 2024-12-06","Midwife, with interest in property management. Engaged via Meeting Set Up, Frequent frequency. Outcome: Signed Up. Purchased: 19 units of Rental Package on 2024-05-18.",Meeting Set Up,Frequent,Signed Up
Lynn,Eaton,Garcia-Hebert,0074 Cynthia Inlet Suite 826,Nolanfort,Nebraska,17475,Join whatever price allow everybody phone show book election management century.,Maintenance Plan,25-03-2024,85,Occasional,"Site engineer, with interest in property management","2024-02-20, 2023-06-17 - 2024-03-25","Site engineer, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Not Interested. Purchased: 85 units of Maintenance Plan on 2024-02-20.",Not Answered,Occasional,Not Interested
David,Haas,Thomas-Ward,77180 Wagner Ford,Woodbury,Colorado,39305,So of lot science now place avoid scientist suffer central history society arrive.,Maintenance Plan,26-06-2024,54,One-time,"Technical author, with interest in property management","2023-07-23, 2023-02-01 - 2024-06-26","Technical author, with interest in property management. Engaged via Meeting Set Up, One-time frequency. Outcome: Signed Up. Purchased: 54 units of Maintenance Plan on 2023-07-23.",Meeting Set Up,One-time,Signed Up
Megan,Lewis,Whitehead Inc,76667 Charles Cliffs Apt. 009,Harmonstad,New York,13352,Yet first staff series senior toward.,Listing,03-02-2025,97,Occasional,"Adult guidance worker, with interest in property management","2024-09-03, 2023-11-14 - 2025-02-03","Adult guidance worker, with interest in property management. Engaged via Called, Occasional frequency. Outcome: Pending Decision. Purchased: 97 units of Listing on 2024-09-03.",Called,Occasional,Pending Decision
Joshua,Sanchez,Rice-Wright,7036 Angela Neck Suite 421,New Joanne,Colorado,81288,Adult old tell lose record break add thing million address him cup these.,Cleaning,31-12-2023,39,Frequent,"Magazine journalist, with interest in property management","2023-08-24, 2023-05-04 - 2023-12-31","Magazine journalist, with interest in property management. Engaged via Not Answered, Frequent frequency. Outcome: Signed Up. Purchased: 39 units of Cleaning on 2023-08-24.",Not Answered,Frequent,Signed Up
Ellen,Johnson,Klein-Edwards,29401 Bruce Terrace Suite 773,West Shane,North Carolina,89936,See point option strong travel nation.,Cleaning,28-11-2024,71,Occasional,"Chief Strategy Officer, with interest in property management","2024-10-07, 2024-08-05 - 2024-11-28","Chief Strategy Officer, with interest in property management. Engaged via Called, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 71 units of Cleaning on 2024-10-07.",Called,Occasional,Scheduled Appointment
Craig,Chen,Ibarra Ltd,4495 Jason Mountain,Port Joshuaside,Tennessee,45427,Yard view usually to toward red second ask.,Cleaning,16-09-2024,82,Frequent,"Geophysical data processor, with interest in property management","2024-07-30, 2023-11-21 - 2024-09-16","Geophysical data processor, with interest in property management. Engaged via Emailed, Frequent frequency. Outcome: Signed Up. Purchased: 82 units of Cleaning on 2024-07-30.",Emailed,Frequent,Signed Up
Lucas,Kelley,"Jones, Ellis and Moore",3696 Arthur Street,Lake Joseph,Delaware,66573,Church large morning help thought usually.,Listing,21-11-2024,66,Occasional,"Manufacturing engineer, with interest in property management","2024-09-21, 2024-09-18 - 2024-11-21","Manufacturing engineer, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Signed Up. Purchased: 66 units of Listing on 2024-09-21.",Not Answered,Occasional,Signed Up
Alexandra,Price,Smith-Castro,5179 Watkins Rest Suite 472,Jamesfurt,New York,79561,Soon Mrs usually debate owner result college strategy success another.,Inspection,10-01-2025,30,Frequent,"Sports administrator, with interest in property management","2024-07-08, 2023-07-25 - 2025-01-10","Sports administrator, with interest in property management. Engaged via Called, Frequent frequency. Outcome: Pending Decision. Purchased: 30 units of Inspection on 2024-07-08.",Called,Frequent,Pending Decision
Anna,Davis,"Watts, Coleman and Roberts",96746 Christopher Trail,Noahburgh,Virginia,87147,Above tend people enter create from approach.,Inspection,27-03-2025,100,Frequent,"Journalist, broadcasting, with interest in property management","2024-12-28, 2023-03-01 - 2025-03-27","Journalist, broadcasting, with interest in property management. Engaged via Called, Frequent frequency. Outcome: Not Interested. Purchased: 100 units of Inspection on 2024-12-28.",Called,Frequent,Not Interested
Maria,Juarez,Hayden and Sons,0241 Joshua Crossing Apt. 698,North Thomas,Ohio,70333,Throw expert spend answer walk beat entire series push parent agreement affect expect work.,Cleaning,17-03-2025,97,Frequent,"Research scientist (medical), with interest in property management","2025-02-13, 2024-07-20 - 2025-03-17","Research scientist (medical), with interest in property management. Engaged via Followed Up, Frequent frequency. Outcome: Requested Info. Purchased: 97 units of Cleaning on 2025-02-13.",Followed Up,Frequent,Requested Info
Andre,Bailey,"Gomez, Gutierrez and Rivas",125 Terry Spur,Maxwellburgh,West Virginia,13337,Real along car report key investment.,Rental Package,27-02-2025,45,Frequent,"Youth worker, with interest in property management","2024-11-10, 2023-01-29 - 2025-02-27","Youth worker, with interest in property management. Engaged via Responded, Frequent frequency. Outcome: Signed Up. Purchased: 45 units of Rental Package on 2024-11-10.",Responded,Frequent,Signed Up
Ashley,Mendoza,Taylor-Richard,0443 Rodney Fort,Fryborough,Alabama,57690,Reduce maybe it treat serious until war arm south exist month fall.,Inspection,10-11-2024,44,Frequent,"Conference centre manager, with interest in property management","2024-09-03, 2022-09-20 - 2024-11-10","Conference centre manager, with interest in property management. Engaged via Not Answered, Frequent frequency. Outcome: Signed Up. Purchased: 44 units of Inspection on 2024-09-03.",Not Answered,Frequent,Signed Up
David,Scott,Davis Inc,4130 Sarah Forges,North Tammy,New Hampshire,28302,Fill nothing I charge only expert wish treatment scientist town already enjoy.,Maintenance Plan,09-11-2024,73,Occasional,"Advice worker, with interest in property management","2024-08-21, 2023-03-09 - 2024-11-09","Advice worker, with interest in property management. Engaged via Meeting Set Up, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 73 units of Maintenance Plan on 2024-08-21.",Meeting Set Up,Occasional,Scheduled Appointment
Kimberly,Johnston,"Bradley, Davis and Hernandez",4726 David Locks Suite 832,Martinezland,Maryland,6421,Capital stop cell fish dinner wear.,Rental Package,12-02-2025,96,Occasional,"Insurance broker, with interest in property management","2023-05-09, 2022-06-05 - 2025-02-12","Insurance broker, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 96 units of Rental Package on 2023-05-09.",Not Answered,Occasional,Scheduled Appointment
Alexander,Newman,Tucker-Gibson,3541 Thomas Lane,Port Alejandra,Idaho,71752,Professor free author determine bill support matter write yes individual.,Maintenance Plan,08-03-2025,92,Occasional,"Media buyer, with interest in property management","2024-11-19, 2023-03-30 - 2025-03-08","Media buyer, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 92 units of Maintenance Plan on 2024-11-19.",Emailed,Occasional,Scheduled Appointment
Shelia,Spears,Love Inc,338 Luke Route Suite 824,New Ericborough,Missouri,11342,Certain past anyone station stay medical.,Rental Package,04-01-2025,42,Frequent,"Environmental education officer, with interest in property management","2024-12-12, 2023-05-07 - 2025-01-04","Environmental education officer, with interest in property management. Engaged via Called, Frequent frequency. Outcome: Pending Decision. Purchased: 42 units of Rental Package on 2024-12-12.",Called,Frequent,Pending Decision
Gregory,Wright,Johnson Inc,4259 Allen Stream,Port Ashley,Minnesota,31176,Trouble certain move man specific risk important care seat way.,Listing,16-03-2025,88,One-time,"Intelligence analyst, with interest in property management","2025-02-24, 2024-09-19 - 2025-03-16","Intelligence analyst, with interest in property management. Engaged via Emailed, One-time frequency. Outcome: Requested Info. Purchased: 88 units of Listing on 2025-02-24.",Emailed,One-time,Requested Info
Cody,Stone,Jensen and Sons,297 Sue Plain,Robertsburgh,North Dakota,76253,Follow owner join fight have question meet contain.,Inspection,08-08-2024,74,Occasional,"Teacher, special educational needs, with interest in property management","2023-12-21, 2022-07-08 - 2024-08-08","Teacher, special educational needs, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 74 units of Inspection on 2023-12-21.",Emailed,Occasional,Scheduled Appointment
Kelly,Sanders,Tate-Franklin,5180 Keith Freeway,Kimberlyside,Iowa,72029,Game move but industry and enjoy discussion big surface.,Cleaning,09-01-2025,2,Frequent,"Psychologist, clinical, with interest in property management","2023-12-24, 2023-07-06 - 2025-01-09","Psychologist, clinical, with interest in property management. Engaged via Meeting Set Up, Frequent frequency. Outcome: Pending Decision. Purchased: 2 units of Cleaning on 2023-12-24.",Meeting Set Up,Frequent,Pending Decision
Joseph,Peters,Sanders and Sons,184 Deborah Forks,South Michaelfurt,Montana,98362,First above itself decade tax realize person camera material party voice this sense.,Cleaning,11-01-2025,89,One-time,"Artist, with interest in property management","2024-01-28, 2024-01-04 - 2025-01-11","Artist, with interest in property management. Engaged via Meeting Set Up, One-time frequency. Outcome: Not Interested. Purchased: 89 units of Cleaning on 2024-01-28.",Meeting Set Up,One-time,Not Interested
Anna,Davidson,"Brown, Mitchell and Smith",277 Danielle Valley,Abigailview,Kentucky,42995,Style government well hundred large new voice simply.,Maintenance Plan,14-01-2025,91,Frequent,"Forest/woodland manager, with interest in property management","2024-05-07, 2023-08-02 - 2025-01-14","Forest/woodland manager, with interest in property management. Engaged via Emailed, Frequent frequency. Outcome: Not Interested. Purchased: 91 units of Maintenance Plan on 2024-05-07.",Emailed,Frequent,Not Interested
Jonathan,Anderson,"Cooper, Martinez and Torres",026 Russell Streets Apt. 912,East Connorburgh,Arizona,20341,Serious debate house collection college either ten situation size attorney bring her.,Listing,02-05-2024,27,Occasional,"Fashion designer, with interest in property management","2023-12-22, 2023-02-27 - 2024-05-02","Fashion designer, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Pending Decision. Purchased: 27 units of Listing on 2023-12-22.",Emailed,Occasional,Pending Decision
Andrew,Russell,Roth Ltd,49346 Payne Plain,Benjaminside,California,31049,Similar every trade under ok recent poor.,Maintenance Plan,15-02-2025,26,Occasional,"Data processing manager, with interest in property management","2024-08-24, 2022-07-30 - 2025-02-15","Data processing manager, with interest in property management. Engaged via Followed Up, Occasional frequency. Outcome: Requested Info. Purchased: 26 units of Maintenance Plan on 2024-08-24.",Followed Up,Occasional,Requested Info
Helen,Wright,Davis-Watts,455 Jeremy Loop Suite 919,Christopherview,Wyoming,73003,As environmental themselves notice if per prove traditional win traditional interesting cover painting.,Rental Package,28-01-2025,90,Occasional,"Engineer, aeronautical, with interest in property management","2025-01-03, 2024-04-26 - 2025-01-28","Engineer, aeronautical, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Requested Info. Purchased: 90 units of Rental Package on 2025-01-03.",Emailed,Occasional,Requested Info
Allison,Hunter,Leach LLC,7650 Austin Vista,Anthonyfort,Ohio,99188,Young statement smile ago visit allow voice go question baby without add vote.,Inspection,14-02-2025,11,One-time,"Leisure centre manager, with interest in property management","2025-01-15, 2022-06-26 - 2025-02-14","Leisure centre manager, with interest in property management. Engaged via Not Answered, One-time frequency. Outcome: Signed Up. Purchased: 11 units of Inspection on 2025-01-15.",Not Answered,One-time,Signed Up
Kevin,Hill,Morgan PLC,9176 Benton Run,South Reginald,South Carolina,69071,Apply economy well college admit require available pick.,Rental Package,29-12-2023,31,One-time,"Civil Service administrator, with interest in property management","2023-05-01, 2023-01-26 - 2023-12-29","Civil Service administrator, with interest in property management. Engaged via Called, One-time frequency. Outcome: Not Interested. Purchased: 31 units of Rental Package on 2023-05-01.",Called,One-time,Not Interested
Anna,Peters,Carpenter-Lewis,126 Ramsey Field Suite 900,Lake Brenda,Illinois,98333,Matter job respond eye team necessary station effect.,Inspection,06-04-2025,30,Occasional,"Engineer, petroleum, with interest in property management","2025-02-15, 2022-07-17 - 2025-04-06","Engineer, petroleum, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Signed Up. Purchased: 30 units of Inspection on 2025-02-15.",Not Answered,Occasional,Signed Up
Hailey,Wilkins,Blankenship and Sons,93271 Russell Place Apt. 412,Rodriguezbury,Ohio,83273,Commercial bill meet available back country really next.,Maintenance Plan,11-10-2024,73,Frequent,"Local government officer, with interest in property management","2023-07-09, 2022-07-19 - 2024-10-11","Local government officer, with interest in property management. Engaged via Called, Frequent frequency. Outcome: Requested Info. Purchased: 73 units of Maintenance Plan on 2023-07-09.",Called,Frequent,Requested Info
Kimberly,Brown,Manning-Peters,8490 James Villages Suite 350,Hectorborough,Alaska,16221,Seven top civil mind surface forward sit.,Inspection,30-01-2025,33,Occasional,"Copy, with interest in property management","2024-06-02, 2022-07-03 - 2025-01-30","Copy, with interest in property management. Engaged via Followed Up, Occasional frequency. Outcome: Pending Decision. Purchased: 33 units of Inspection on 2024-06-02.",Followed Up,Occasional,Pending Decision
Aaron,Gibson,Le-Sweeney,8756 Wilson Fords Apt. 137,Port Paul,North Carolina,74112,Ever list available rest moment part their American describe doctor.,Listing,28-09-2024,4,Occasional,"Diagnostic radiographer, with interest in property management","2023-12-03, 2022-10-10 - 2024-09-28","Diagnostic radiographer, with interest in property management. Engaged via Followed Up, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 4 units of Listing on 2023-12-03.",Followed Up,Occasional,Scheduled Appointment
Katherine,Peterson,Garcia-Wilson,995 Leah Greens Apt. 235,Jadeport,Kansas,19598,Compare change health sign section tonight option.,Listing,21-07-2024,2,Frequent,"Public house manager, with interest in property management","2024-07-12, 2023-04-15 - 2024-07-21","Public house manager, with interest in property management. Engaged via Responded, Frequent frequency. Outcome: Pending Decision. Purchased: 2 units of Listing on 2024-07-12.",Responded,Frequent,Pending Decision
Annette,Chan,Rodgers Group,694 Miller Fall Suite 196,Mccarthyport,Kansas,24166,Bit pretty good be west none.,Listing,17-04-2025,2,Frequent,"Air broker, with interest in property management","2024-05-01, 2024-04-16 - 2025-04-17","Air broker, with interest in property management. Engaged via Called, Frequent frequency. Outcome: Not Interested. Purchased: 2 units of Listing on 2024-05-01.",Called,Frequent,Not Interested
Edward,Henderson,Chavez-Newton,2831 Amber Springs,Lake Robinside,Indiana,89416,Its piece same me law office true car reveal new personal east modern.,Inspection,13-04-2025,67,Occasional,"Civil Service administrator, with interest in property management","2024-12-18, 2022-10-14 - 2025-04-13","Civil Service administrator, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Not Interested. Purchased: 67 units of Inspection on 2024-12-18.",Emailed,Occasional,Not Interested
Christopher,Jenkins,Simpson Inc,72756 Barber Village Apt. 806,Lake Matthewmouth,South Dakota,34334,Western both must language up us computer difficult executive.,Listing,30-03-2025,19,One-time,"Programme researcher, broadcasting/film/video, with interest in property management","2025-03-07, 2023-08-16 - 2025-03-30","Programme researcher, broadcasting/film/video, with interest in property management. Engaged via Meeting Set Up, One-time frequency. Outcome: Scheduled Appointment. Purchased: 19 units of Listing on 2025-03-07.",Meeting Set Up,One-time,Scheduled Appointment
Michael,Woodard,Nichols-Sullivan,584 Wiley Summit,Hannahstad,Pennsylvania,49712,Always personal Mr set page career story kitchen include how.,Listing,01-09-2024,68,Occasional,"Retail merchandiser, with interest in property management","2024-08-13, 2024-04-11 - 2024-09-01","Retail merchandiser, with interest in property management. Engaged via Responded, Occasional frequency. Outcome: Signed Up. Purchased: 68 units of Listing on 2024-08-13.",Responded,Occasional,Signed Up
Catherine,Avery,"Stevens, Bender and Wilson",076 Berry Gateway Apt. 161,Gonzalesmouth,Massachusetts,1773,Understand easy seven accept least all big build his who arm but develop.,Cleaning,21-03-2025,52,One-time,"Geneticist, molecular, with interest in property management","2025-02-07, 2022-07-16 - 2025-03-21","Geneticist, molecular, with interest in property management. Engaged via Followed Up, One-time frequency. Outcome: Signed Up. Purchased: 52 units of Cleaning on 2025-02-07.",Followed Up,One-time,Signed Up
Jason,Ruiz,Brock LLC,496 Clark Shoal Suite 887,Hannahstad,Rhode Island,46725,Floor himself argue people age wait hope.,Inspection,16-01-2025,91,Occasional,"Scientist, forensic, with interest in property management","2024-08-10, 2023-07-18 - 2025-01-16","Scientist, forensic, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Requested Info. Purchased: 91 units of Inspection on 2024-08-10.",Emailed,Occasional,Requested Info
Richard,Braun,"Calderon, Roth and Cruz",0919 Robert Meadow Suite 885,West Josephmouth,Texas,37070,Fish everyone staff social ahead bad both bar.,Rental Package,19-11-2024,24,Occasional,"Mudlogger, with interest in property management","2024-01-06, 2023-02-07 - 2024-11-19","Mudlogger, with interest in property management. Engaged via Emailed, Occasional frequency. Outcome: Not Interested. Purchased: 24 units of Rental Package on 2024-01-06.",Emailed,Occasional,Not Interested
Gary,Chavez,Hernandez-Rivas,5177 Vargas Circle,Mitchellberg,South Carolina,22140,Person add mention single person store after probably kind speech different.,Cleaning,09-04-2025,1,Frequent,"Investment analyst, with interest in property management","2023-12-27, 2023-08-10 - 2025-04-09","Investment analyst, with interest in property management. Engaged via Called, Frequent frequency. Outcome: Pending Decision. Purchased: 1 units of Cleaning on 2023-12-27.",Called,Frequent,Pending Decision
Philip,Adams,"Chandler, Erickson and Chen",90650 Samuel Parkways Apt. 216,Lake Tylerport,Michigan,28376,My change think their up speak daughter respond back.,Cleaning,03-04-2025,35,One-time,"Research scientist (life sciences), with interest in property management","2024-11-27, 2022-12-15 - 2025-04-03","Research scientist (life sciences), with interest in property management. Engaged via Emailed, One-time frequency. Outcome: Signed Up. Purchased: 35 units of Cleaning on 2024-11-27.",Emailed,One-time,Signed Up
Courtney,Rogers,Cunningham-Chang,7457 Perez Spur,South Adamview,Massachusetts,32934,Degree church act do break remember knowledge either type individual strategy important fear.,Rental Package,13-07-2024,49,Occasional,"Product/process development scientist, with interest in property management","2023-07-08, 2023-01-12 - 2024-07-13","Product/process development scientist, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Requested Info. Purchased: 49 units of Rental Package on 2023-07-08.",Not Answered,Occasional,Requested Info
Katie,Powell,Bryant-Mcconnell,9395 Allen Flats,North Davidville,California,80528,Commercial spend international or eight your right.,Inspection,21-02-2025,54,Occasional,"Fish farm manager, with interest in property management","2025-01-06, 2022-11-10 - 2025-02-21","Fish farm manager, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Signed Up. Purchased: 54 units of Inspection on 2025-01-06.",Not Answered,Occasional,Signed Up
Adam,Brooks,Coleman-Prince,9023 Angela Alley,Garciahaven,Oklahoma,60873,President might business foot state throughout.,Maintenance Plan,08-12-2024,91,Frequent,"Radio broadcast assistant, with interest in property management","2023-08-29, 2022-05-02 - 2024-12-08","Radio broadcast assistant, with interest in property management. Engaged via Emailed, Frequent frequency. Outcome: Scheduled Appointment. Purchased: 91 units of Maintenance Plan on 2023-08-29.",Emailed,Frequent,Scheduled Appointment
Robert,Perez,Brennan PLC,060 Walsh Knolls,South Carlborough,Connecticut,47885,Culture less something pretty me yourself drug require.,Cleaning,02-10-2024,33,Frequent,"Accommodation manager, with interest in property management","2024-02-03, 2023-11-19 - 2024-10-02","Accommodation manager, with interest in property management. Engaged via Meeting Set Up, Frequent frequency. Outcome: Signed Up. Purchased: 33 units of Cleaning on 2024-02-03.",Meeting Set Up,Frequent,Signed Up
Brittney,Moyer,Mcdonald-Gardner,37728 Lindsey Springs Suite 194,South Karenshire,Delaware,93583,President wait kind fire have entire natural charge best his other single.,Maintenance Plan,24-08-2024,73,One-time,"Trade union research officer, with interest in property management","2023-05-27, 2023-05-23 - 2024-08-24","Trade union research officer, with interest in property management. Engaged via Followed Up, One-time frequency. Outcome: Not Interested. Purchased: 73 units of Maintenance Plan on 2023-05-27.",Followed Up,One-time,Not Interested
Karen,Stewart,"Jackson, Cooper and Obrien",27735 Barbara Manors,North William,New Hampshire,99638,Join it on mention black people dream exist.,Rental Package,20-05-2024,97,Frequent,"Forensic psychologist, with interest in property management","2023-11-01, 2023-02-04 - 2024-05-20","Forensic psychologist, with interest in property management. Engaged via Responded, Frequent frequency. Outcome: Requested Info. Purchased: 97 units of Rental Package on 2023-11-01.",Responded,Frequent,Requested Info
Mark,Miller,Smith-Kent,0016 Austin Causeway Apt. 322,Jerrytown,Illinois,55531,Include subject system quite turn of room onto deal company report.,Inspection,22-04-2025,89,Frequent,"Sales executive, with interest in property management","2025-03-13, 2022-04-26 - 2025-04-22","Sales executive, with interest in property management. Engaged via Meeting Set Up, Frequent frequency. Outcome: Pending Decision. Purchased: 89 units of Inspection on 2025-03-13.",Meeting Set Up,Frequent,Pending Decision
Anthony,Jackson,Mills PLC,883 Heather Neck,Cynthiafurt,Indiana,74196,Art feel us recently reason arm usually stock offer score.,Cleaning,22-08-2024,60,Occasional,"Marine scientist, with interest in property management","2024-08-11, 2023-12-18 - 2024-08-22","Marine scientist, with interest in property management. Engaged via Not Answered, Occasional frequency. Outcome: Signed Up. Purchased: 60 units of Cleaning on 2024-08-11.",Not Answered,Occasional,Signed Up
Anna,Simpson,"Johnson, Wright and Cameron",15980 Cervantes Parkways Apt. 509,Wilsonfort,Connecticut,26354,Value computer rate stop huge teach hotel.,Maintenance Plan,22-10-2024,73,One-time,"International aid/development worker, with interest in property management","2024-01-27, 2023-11-19 - 2024-10-22","International aid/development worker, with interest in property management. Engaged via Responded, One-time frequency. Outcome: Scheduled Appointment. Purchased: 73 units of Maintenance Plan on 2024-01-27.",Responded,One-time,Scheduled Appointment
Samantha,Larson,Williams-Cummings,150 Roger Ports,Nancyberg,New Jersey,17855,Position focus follow happy sense the today hospital society reality.,Cleaning,23-01-2025,71,Occasional,"Higher education careers adviser, with interest in property management","2024-08-18, 2022-08-07 - 2025-01-23","Higher education careers adviser, with interest in property management. Engaged via Meeting Set Up, Occasional frequency. Outcome: Pending Decision. Purchased: 71 units of Cleaning on 2024-08-18.",Meeting Set Up,Occasional,Pending Decision
Dana,Gordon,Wolfe Inc,90616 Brown Locks,Samanthastad,Tennessee,17605,Range court occur trouble over save police end production similar decide throw south.,Maintenance Plan,20-04-2025,9,Frequent,"Osteopath, with interest in property management","2025-01-29, 2023-03-27 - 2025-04-20","Osteopath, with interest in property management. Engaged via Not Answered, Frequent frequency. Outcome: Pending Decision. Purchased: 9 units of Maintenance Plan on 2025-01-29.",Not Answered,Frequent,Pending Decision
Christopher,Williams,Dixon-Villegas,74127 Rodriguez Well,West Derrickstad,Virginia,53017,North tonight machine impact let collection dinner.,Maintenance Plan,13-09-2024,57,One-time,"Psychotherapist, child, with interest in property management","2024-09-12, 2022-12-03 - 2024-09-13","Psychotherapist, child, with interest in property management. Engaged via Followed Up, One-time frequency. Outcome: Scheduled Appointment. Purchased: 57 units of Maintenance Plan on 2024-09-12.",Followed Up,One-time,Scheduled Appointment
