First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary
Brenda,Gray,Miller-Romero,32091 Monica Cove,Pattersonfort,South Carolina,57637,Leader stock inside clear also son summer section high when take same vote.,Berries,08-10-2024,8,Instable,"Geologist, engineering with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-09-22, 2024-06-19 - 2024-10-08","Geologist, engineering with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 8 units of Berries on 2024-09-22."
James,Coleman,"Green, Hayes and Sanders",98121 Washington Square,East Ashley,Utah,2989,Enter tell pattern able management tonight.,Cucumbers,22-04-2024,82,Frequent,Logistics and distribution manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-18, 2023-12-02 - 2024-04-22",Logistics and distribution manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 82 units of Cucumbers on 2024-04-18.
Amber,Cole,"Lynch, Johnson and Snyder",57575 Matthew Estates Apt. 253,Rodgersbury,Missouri,15528,Agent international attorney lawyer truth in above very usually nearly concern his artist.,Apples,14-05-2025,52,Frequent,Television camera operator with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-23, 2024-11-04 - 2025-05-14",Television camera operator with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 52 units of Apples on 2025-03-23.
Beth,Walton,"Zhang, Cooper and Holmes",663 Adrian Neck Suite 134,New James,Alaska,50504,Use leave attention street side president.,Berries,21-08-2024,76,Rare,Travel agency manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-30, 2024-04-09 - 2024-08-21",Travel agency manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 76 units of Berries on 2024-07-30.
Emma,Armstrong,"Walker, Thomas and Wilkerson",8259 Edwards Street Suite 065,Heatherside,Idaho,43279,Car pattern professor nation ground bag movement hope would field itself others newspaper.,Lettuce,12-10-2024,42,Frequent,Product/process development scientist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-08, 2024-04-20 - 2024-10-12",Product/process development scientist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 42 units of Lettuce on 2024-09-08.
Kathleen,Olson,"Perkins, Graham and Anderson",59050 James Stream Suite 637,Lake Shaneton,Ohio,67859,Firm factor focus pick get method young sure expert authority represent crime.,Berries,23-09-2024,26,Frequent,Facilities manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-08-11, 2024-03-28 - 2024-09-23",Facilities manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 26 units of Berries on 2024-08-11.
Annette,Campbell,Holmes-Reynolds,6294 Higgins Plaza Apt. 113,East Miguelchester,South Dakota,30075,Once thousand gun item woman back clear hold likely.,Carrots,17-07-2024,84,Instable,Press photographer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-24, 2023-12-26 - 2024-07-17",Press photographer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 84 units of Carrots on 2024-04-24.
Gina,Massey,Wagner-Moss,1809 Rogers Extension,Sarahmouth,Michigan,96820,Affect building against teacher night bed only part information see figure executive.,Apples,02-06-2024,32,Rare,Hydrogeologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-12, 2024-04-03 - 2024-06-02",Hydrogeologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 32 units of Apples on 2024-05-12.
Julie,Wheeler,"Morrison, Mclaughlin and Anderson",26874 Mcguire Rapid,Amandamouth,North Carolina,29456,Institution morning room trouble town across million clearly series.,Cucumbers,19-12-2024,96,Rare,Advertising account planner with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-12-14, 2024-09-10 - 2024-12-19",Advertising account planner with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 96 units of Cucumbers on 2024-12-14.
Catherine,Miller,"Haley, Stanley and Sanchez",11844 Gregory Island,Garyland,Wyoming,66061,Trade six vote right major create center.,Apples,12-12-2024,94,Frequent,Planning and development surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-12, 2024-06-25 - 2024-12-12",Planning and development surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 94 units of Apples on 2024-10-12.
Amanda,Hicks,Bass PLC,5623 Rachel Garden Suite 456,Port Brianport,South Carolina,34438,Close wind so cultural opportunity law source particularly agency star.,Lettuce,29-12-2024,4,Rare,Ranger/warden with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-07, 2024-05-16 - 2024-12-29",Ranger/warden with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 4 units of Lettuce on 2024-11-07.
Adrian,Robinson,Marshall Group,53994 Gabrielle Pine,Travisfort,Washington,17789,Artist ok example there ready risk late west strategy center hour experience.,Cucumbers,12-07-2024,96,Only Once,Barista with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-27, 2024-02-14 - 2024-07-12",Barista with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 96 units of Cucumbers on 2024-05-27.
Daniel,Compton,Kelly-Dixon,604 Hudson Club,Port Christopherport,Louisiana,84561,Answer draw process walk box long adult bill.,Cucumbers,15-05-2024,95,Only Once,Financial risk analyst with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-20, 2024-03-13 - 2024-05-15",Financial risk analyst with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 95 units of Cucumbers on 2024-04-20.
Nicole,Duncan,"Collins, West and Spencer",17250 Valdez Creek Suite 057,Obrienchester,Indiana,12488,Operation improve take necessary finish help lawyer opportunity.,Tomatoes,21-05-2025,62,Rare,"Engineer, maintenance with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-04-13, 2025-02-10 - 2025-05-21","Engineer, maintenance with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 62 units of Tomatoes on 2025-04-13."
Edward,Gutierrez,Rodriguez Group,87796 Maria Stravenue Suite 908,Port Shannon,Alaska,22577,Off many subject skill once our approach nor budget time body when mean.,Lettuce,02-12-2024,57,Rare,Research scientist (medical) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-21, 2024-05-23 - 2024-12-02",Research scientist (medical) with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 57 units of Lettuce on 2024-09-21.
Alexander,Munoz,"Kelly, Stewart and Guzman",239 Valentine Views Suite 260,Williamsstad,South Dakota,48017,Last charge again play such left assume whose doctor for girl.,Lettuce,21-02-2025,23,Frequent,Surgeon with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-20, 2024-10-26 - 2025-02-21",Surgeon with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 23 units of Lettuce on 2025-02-20.
Daniel,Anderson,Stevens PLC,992 Morris Mount Suite 680,Lake Rachel,Idaho,98232,Detail serve push until sign cold what.,Berries,10-03-2025,42,Only Once,"Therapist, sports with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-19, 2024-10-25 - 2025-03-10","Therapist, sports with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 42 units of Berries on 2025-02-19."
Julie,Fernandez,Allen-Contreras,1655 Melissa Court,North Jamestown,Indiana,15723,Pm ask we action place rock research along community different keep part.,Apples,13-09-2024,2,Frequent,Architect with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-06, 2024-01-14 - 2024-09-13",Architect with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 2 units of Apples on 2024-07-06.
Mark,Gonzalez,Wood-Gonzalez,98271 Samuel Fields Suite 570,Maldonadoshire,Nevada,52825,Vote couple join safe public call.,Cucumbers,22-01-2025,29,Rare,Broadcast engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-24, 2024-08-25 - 2025-01-22",Broadcast engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 29 units of Cucumbers on 2024-11-24.
Debbie,Johnson,Guzman PLC,0104 Todd Locks,New Christinahaven,Nevada,36698,Human century low their deep between garden.,Berries,15-01-2025,59,Rare,Marine scientist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-07, 2024-05-17 - 2025-01-15",Marine scientist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 59 units of Berries on 2024-11-07.
Jose,Maldonado,Hall LLC,59899 Perez Neck Apt. 701,North Bradleyburgh,Washington,70376,Security local weight set market manage heart yeah partner.,Yogurt,27-10-2024,20,Instable,Pension scheme manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-01, 2024-06-27 - 2024-10-27",Pension scheme manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 20 units of Yogurt on 2024-10-01.
Richard,Collins,Francis-Armstrong,562 Spears Path Suite 443,Port Kevinshire,California,86487,Key soon leg cell loss end able entire evidence open small.,Apples,02-05-2025,14,Frequent,Ranger/warden with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-19, 2024-09-28 - 2025-05-02",Ranger/warden with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 14 units of Apples on 2025-02-19.
Vanessa,Berry,Bennett LLC,631 Brown Avenue,South Michaelville,South Dakota,77158,Let religious they degree practice of raise general attorney religious evening plant always.,Milk,15-05-2025,55,Instable,Music tutor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-16, 2024-12-10 - 2025-05-15",Music tutor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 55 units of Milk on 2025-02-16.
Gina,Whitney,"Thomas, Hess and Walker",33695 Kirby Villages Apt. 660,Port John,North Carolina,40151,Officer very oil adult room operation company manage shoulder.,Tomatoes,11-03-2025,26,Only Once,Early years teacher with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-03, 2024-11-27 - 2025-03-11",Early years teacher with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 26 units of Tomatoes on 2025-03-03.
Brandi,Villarreal,Brock Ltd,253 Robinson Trail,Curryside,Louisiana,64580,Represent might third hotel special attack paper among quite.,Spinach,08-12-2024,68,Only Once,Site engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-19, 2024-07-04 - 2024-12-08",Site engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 68 units of Spinach on 2024-09-19.
James,Marsh,"Watson, Lynch and Maxwell",5264 Lee Station Suite 873,Michaelfort,North Dakota,16448,Stage difficult view newspaper free central lose street.,Cheese,08-05-2025,15,Rare,Medical sales representative with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-22, 2025-01-09 - 2025-05-08",Medical sales representative with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 15 units of Cheese on 2025-02-22.
Amy,Morton,"Moon, Dean and Martin",3677 Wright Falls Suite 005,West Kevin,Maryland,46851,Imagine decision commercial source list first long social but measure.,Tomatoes,17-02-2025,77,Rare,Hydrogeologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-12-04, 2024-07-09 - 2025-02-17",Hydrogeologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 77 units of Tomatoes on 2024-12-04.
James,Elliott,Maddox-Evans,991 Joseph Way,Martinside,Maryland,57627,Money attack ground mother movement million walk task once beat.,Yogurt,23-03-2025,84,Only Once,Energy engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-12-23, 2024-09-20 - 2025-03-23",Energy engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 84 units of Yogurt on 2024-12-23.
Amy,Gross,Cobb-Reese,7043 Brewer Squares,Kimshire,Rhode Island,29794,Purpose husband after end more hit ever deep fear very remember why.,Carrots,22-06-2025,100,Rare,Control and instrumentation engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-03-30, 2025-02-23 - 2025-06-22",Control and instrumentation engineer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 100 units of Carrots on 2025-03-30.
Angela,Lopez,Holt PLC,71317 Melinda Green Suite 285,Brookemouth,Illinois,96898,Young training Mr they let activity view discover finish him past.,Lettuce,25-07-2024,21,Instable,Tree surgeon with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-06-05, 2024-01-03 - 2024-07-25",Tree surgeon with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 21 units of Lettuce on 2024-06-05.
Ryan,Bennett,"Wyatt, Melendez and Brown",32760 Karen Estates,Port Timothy,Virginia,2256,Fund back determine spring control itself set author these mention join chance affect.,Carrots,22-05-2025,39,Only Once,"Engineer, land with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2025-02-21, 2024-10-24 - 2025-05-22","Engineer, land with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 39 units of Carrots on 2025-02-21."
Anita,Peterson,"Dunn, Lewis and Graham",7093 Navarro Avenue,Martinstad,Idaho,14563,Compare high more class phone score business defense field too include message high.,Tomatoes,04-05-2024,81,Frequent,IT technical support officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-22, 2023-12-22 - 2024-05-04",IT technical support officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 81 units of Tomatoes on 2024-04-22.
Tanya,Lucas,"Young, Tucker and Morgan",18857 Sandra Expressway,Sullivanbury,Montana,42492,Year day face TV activity too despite education old air.,Lettuce,15-11-2024,6,Only Once,Environmental education officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-13, 2024-06-16 - 2024-11-15",Environmental education officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 6 units of Lettuce on 2024-09-13.
Jose,Young,Davis-Sanchez,9248 Walker Springs Suite 356,Tinaberg,Montana,31495,Money citizen growth carry democratic arrive into rest yeah likely.,Milk,18-01-2025,85,Only Once,"Surveyor, land/geomatics with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-10-22, 2024-09-18 - 2025-01-18","Surveyor, land/geomatics with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 85 units of Milk on 2024-10-22."
Sharon,Gibson,Hebert-Mcknight,5561 Mcdaniel Villages,Port Randyberg,Alaska,30218,Car protect forget religious leave option father with.,Tomatoes,14-05-2024,94,Only Once,Occupational therapist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-05, 2024-03-25 - 2024-05-14",Occupational therapist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 94 units of Tomatoes on 2024-05-05.
Dan,Taylor,"Holmes, Bell and Allen",53471 Erin Brooks Apt. 558,North Ashleeland,Oklahoma,44731,Their part agreement suddenly eye choose no improve movement break language little these.,Spinach,20-05-2024,75,Rare,Insurance account manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-13, 2024-03-02 - 2024-05-20",Insurance account manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 75 units of Spinach on 2024-05-13.
Diana,Adams,"Brown, Foster and Young",42428 Hudson Streets,New Jeffery,Texas,32809,From where wish compare together threat.,Milk,16-05-2024,40,Rare,International aid/development worker with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-03, 2024-01-05 - 2024-05-16",International aid/development worker with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 40 units of Milk on 2024-05-03.
Sabrina,Jenkins,Sutton LLC,698 Rodriguez Courts,Wilkinshaven,California,45128,Short safe two road miss behavior billion economy later ahead.,Apples,10-12-2024,16,Instable,Conference centre manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-10-27, 2024-07-24 - 2024-12-10",Conference centre manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 16 units of Apples on 2024-10-27.
Joshua,Lawrence,"Solis, Love and Saunders",14544 Sean Summit Suite 661,Ricardofort,Colorado,84964,Under life yet near dark less through scene night next name list.,Spinach,28-04-2024,47,Rare,"Conservator, museum/gallery with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-04-21, 2024-02-03 - 2024-04-28","Conservator, museum/gallery with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 47 units of Spinach on 2024-04-21."
Shari,Mcclain,Munoz-Clayton,686 Miller Rest,South Kaitlyn,New Hampshire,65727,Animal body heart reality occur either available.,Yogurt,18-04-2025,54,Frequent,Human resources officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-01-19, 2024-09-11 - 2025-04-18",Human resources officer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 54 units of Yogurt on 2025-01-19.
Michael,Austin,"Fields, Franco and Turner",219 Sylvia Port,West Belindatown,Minnesota,58799,Lose necessary statement this reach however.,Lettuce,15-05-2024,67,Rare,Building surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-04-18, 2024-01-24 - 2024-05-15",Building surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 67 units of Lettuce on 2024-04-18.
Julia,Griffin,"Allen, Chang and Miller",813 Cathy Roads Suite 406,Port Victor,Ohio,17139,Others hot language something kid until now.,Carrots,10-02-2025,30,Rare,Counselling psychologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-04, 2024-12-04 - 2025-02-10",Counselling psychologist with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 30 units of Carrots on 2025-02-04.
Thomas,Smith,"Lane, Robinson and Browning",7632 Jonathan Plains Suite 835,South Kennethfurt,Massachusetts,76656,Develop until music lead economic last.,Tomatoes,16-04-2025,68,Rare,Dancer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-04-13, 2025-03-11 - 2025-04-16",Dancer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 68 units of Tomatoes on 2025-04-13.
Michael,Higgins,Reynolds LLC,6393 Scott Fall,Nobleton,Nevada,40359,Deal sure sure she mother purpose student.,Milk,19-10-2024,6,Rare,Commercial/residential surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-02, 2024-04-18 - 2024-10-19",Commercial/residential surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 6 units of Milk on 2024-09-02.
Jennifer,Braun,Figueroa-Thomas,5781 Joshua Mission Apt. 181,Flemingview,Louisiana,28836,Any you already education benefit approach bed.,Cucumbers,03-01-2025,62,Instable,"Engineer, aeronautical with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.","2024-10-23, 2024-08-05 - 2025-01-03","Engineer, aeronautical with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 62 units of Cucumbers on 2024-10-23."
Kelsey,Smith,Burnett-Lee,022 Wood Course Suite 267,New Michaelland,Wisconsin,55996,Glass west father wish significant single six.,Berries,13-09-2024,25,Only Once,Jewellery designer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-07-31, 2024-03-20 - 2024-09-13",Jewellery designer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 25 units of Berries on 2024-07-31.
Matthew,Whitney,"Perez, Robinson and Johnson",56150 Larry View,New Andrew,Minnesota,89343,Environmental specific right determine will stage nice.,Berries,07-12-2024,13,Frequent,Counsellor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-11-24, 2024-06-24 - 2024-12-07",Counsellor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 13 units of Berries on 2024-11-24.
Pamela,Adams,"Bennett, Campos and West",721 Kennedy Spur,Fernandezfort,Maine,32120,Best speak none defense economic kid capital seven stock.,Yogurt,08-07-2024,82,Instable,Museum/gallery conservator with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-16, 2024-01-15 - 2024-07-08",Museum/gallery conservator with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 82 units of Yogurt on 2024-05-16.
Susan,Martinez,Hebert and Sons,4146 Hunt Forest,Michaelberg,Wisconsin,34536,Behavior identify newspaper system floor never together shake high.,Apples,28-09-2024,28,Rare,Office manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-09-27, 2024-08-22 - 2024-09-28",Office manager with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 28 units of Apples on 2024-09-27.
Phillip,Clark,Skinner-Mcdaniel,21695 Sawyer Knolls Suite 862,North Devin,New York,10669,Part control the contain too individual.,Spinach,27-07-2024,15,Instable,Building surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2024-05-22, 2024-02-11 - 2024-07-27",Building surveyor with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 15 units of Spinach on 2024-05-22.
Jason,Washington,Adams-Morgan,5913 Martin Hills,Stevenchester,Nevada,72822,Particularly music strong start owner big again president agreement wind too.,Lettuce,11-03-2025,13,Instable,Best boy with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-17, 2024-12-06 - 2025-03-11",Best boy with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 13 units of Lettuce on 2025-02-17.
Aaron,Bailey,Butler-Williams,80112 Weber Orchard Apt. 529,Michaelstad,Nebraska,95588,Population certain stuff government determine usually manage chance.,Yogurt,16-05-2025,88,Rare,Furniture designer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce.,"2025-02-26, 2024-10-03 - 2025-05-16",Furniture designer with interest in sustainable agriculture. Active on LinkedIn. Often shares content related to organic produce. Purchased: 88 units of Yogurt on 2025-02-26.
