First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary,Model of Communication,Frequency,Outcome
Victoria,Campbell,Weber-Mcclure,73778 Rita Street,Joshuaberg,South Carolina,14996,Mean us company color simple result participant to fear soldier home compare.,Cheese Burst,2024-11-02,1,10 times,"Arboriculturist, pizza enthusiast","2024-06-17, 2023-05-31 - 2024-11-02","Arboriculturist, pizza enthusiast. Contacted via Call 10 times. Outcome: No Reply. Ordered 1x Cheese Burst on 2024-06-17.",Call,10,No Reply
Stephen,Gonzalez,"Bowman, Marsh and Miller",44749 Anderson Freeway,West James,Missouri,17992,Ability serious former benefit program push student a choose natural along.,Margherita,2025-03-10,5,3 times,"Surveyor, minerals, pizza enthusiast","2024-12-23, 2023-09-15 - 2025-03-10","Surveyor, minerals, pizza enthusiast. Contacted via Email 3 times. Outcome: Pending Response. Ordered 5x Margherita on 2024-12-23.",Email,3,Pending Response
Donna,Moore,Erickson-Moore,61833 Huber Plains Apt. 032,Lisaberg,Alaska,55948,Factor who what draw risk similar feeling difference perhaps herself.,Cheese Burst,2025-03-26,5,1 times,"Insurance account manager, pizza enthusiast","2024-10-30, 2024-04-02 - 2025-03-26","Insurance account manager, pizza enthusiast. Contacted via SMS 1 times. Outcome: Pending Response. Ordered 5x Cheese Burst on 2024-10-30.",SMS,1,Pending Response
Larry,Dennis,"Santana, Miller and Murphy",06874 King Forge,Lake Scottport,Massachusetts,84624,Crime camera claim travel stage yes amount kitchen story senior place make.,Margherita,2024-06-13,4,1 times,"Statistician, pizza enthusiast","2024-05-21, 2023-11-26 - 2024-06-13","Statistician, pizza enthusiast. Contacted via Call 1 times. Outcome: No Reply. Ordered 4x Margherita on 2024-05-21.",Call,1,No Reply
Angela,Pitts,Long Group,34830 Gary Loop Suite 541,Smithmouth,Louisiana,02259,Order anything sea back gun policy community.,Veggie Delight,2024-07-28,3,1 times,"Therapist, art, pizza enthusiast","2024-05-12, 2023-09-08 - 2024-07-28","Therapist, art, pizza enthusiast. Contacted via SMS 1 times. Outcome: No Reply. Ordered 3x Veggie Delight on 2024-05-12.",SMS,1,No Reply
Brian,Callahan,"Dyer, Thompson and Smith",99614 John Pine Suite 888,Farmerside,Washington,34926,Next special economy real never official worker character.,Cheese Burst,2024-11-09,3,5 times,"Scientist, biomedical, pizza enthusiast","2024-08-16, 2024-02-19 - 2024-11-09","Scientist, biomedical, pizza enthusiast. Contacted via SMS 5 times. Outcome: Ordered Again. Ordered 3x Cheese Burst on 2024-08-16.",SMS,5,Ordered Again
Michael,Wilson,Ryan-Goodman,4174 Knapp Course,Pachecoside,New York,72635,Effect public bring peace culture meet suddenly less season.,Cheese Burst,2025-02-24,5,2 times,"Scientist, forensic, pizza enthusiast","2024-12-10, 2024-02-19 - 2025-02-24","Scientist, forensic, pizza enthusiast. Contacted via Email 2 times. Outcome: Pending Response. Ordered 5x Cheese Burst on 2024-12-10.",Email,2,Pending Response
Jasmine,Woods,Gregory Ltd,79835 Kathleen Trafficway,New Allenside,Indiana,71305,Form late car trouble style nation school purpose avoid around push protect growth.,Hawaiian,2025-03-19,4,5 times,"Physiological scientist, pizza enthusiast","2025-03-10, 2024-05-24 - 2025-03-19","Physiological scientist, pizza enthusiast. Contacted via Online Chat 5 times. Outcome: Scheduled Pickup. Ordered 4x Hawaiian on 2025-03-10.",Online Chat,5,Scheduled Pickup
Justin,Huff,Ibarra-Morrow,212 Sanchez Curve,Normanborough,Virginia,54699,Evening quality thousand discussion mission according grow actually Democrat.,BBQ Chicken,2025-01-23,5,10 times,"Pathologist, pizza enthusiast","2024-06-10, 2023-05-01 - 2025-01-23","Pathologist, pizza enthusiast. Contacted via SMS 10 times. Outcome: Requested Offer. Ordered 5x BBQ Chicken on 2024-06-10.",SMS,10,Requested Offer
James,Escobar,Ponce Ltd,1103 Laura Run,Port Ronald,Wyoming,48159,Station thus gun help with run test something piece.,Meat Lovers,2025-03-05,4,3 times,"TEFL teacher, pizza enthusiast","2024-12-03, 2024-04-30 - 2025-03-05","TEFL teacher, pizza enthusiast. Contacted via Email 3 times. Outcome: Scheduled Pickup. Ordered 4x Meat Lovers on 2024-12-03.",Email,3,Scheduled Pickup
Keith,West,Ramirez-Roach,295 Jay Street Suite 739,Jenkinston,Massachusetts,73876,On church child plant study term unit speak range.,BBQ Chicken,2024-09-21,5,9 times,"Armed forces technical officer, pizza enthusiast","2024-08-23, 2024-02-14 - 2024-09-21","Armed forces technical officer, pizza enthusiast. Contacted via Email 9 times. Outcome: No Reply. Ordered 5x BBQ Chicken on 2024-08-23.",Email,9,No Reply
Amy,Berry,Gonzalez-Schmitt,702 Michelle Shoal Suite 566,East Heatherside,Utah,28990,Entire drive protect population understand nothing although financial.,Cheese Burst,2025-03-30,3,6 times,"Hospital pharmacist, pizza enthusiast","2024-05-03, 2024-02-03 - 2025-03-30","Hospital pharmacist, pizza enthusiast. Contacted via Online Chat 6 times. Outcome: Pending Response. Ordered 3x Cheese Burst on 2024-05-03.",Online Chat,6,Pending Response
Michael,Flores,Davis Ltd,503 Cox Plaza,South Katie,Nebraska,15679,Indicate buy drug stuff down would.,Meat Lovers,2024-06-11,4,10 times,"Horticultural therapist, pizza enthusiast","2024-04-25, 2024-03-24 - 2024-06-11","Horticultural therapist, pizza enthusiast. Contacted via Online Chat 10 times. Outcome: No Reply. Ordered 4x Meat Lovers on 2024-04-25.",Online Chat,10,No Reply
Frederick,Tucker,Carr PLC,7002 Santos Turnpike,Henryville,Vermont,84175,Case main probably this others good.,Margherita,2025-03-01,5,10 times,"Financial controller, pizza enthusiast","2024-12-04, 2023-10-03 - 2025-03-01","Financial controller, pizza enthusiast. Contacted via Online Chat 10 times. Outcome: Requested Offer. Ordered 5x Margherita on 2024-12-04.",Online Chat,10,Requested Offer
Paul,Bartlett,Prince and Sons,8535 Henry Park,Mariaborough,North Carolina,12706,Leave hot director brother race people well worry decade throw.,Hawaiian,2024-12-05,2,10 times,"Contracting civil engineer, pizza enthusiast","2024-09-20, 2024-01-23 - 2024-12-05","Contracting civil engineer, pizza enthusiast. Contacted via Email 10 times. Outcome: Requested Offer. Ordered 2x Hawaiian on 2024-09-20.",Email,10,Requested Offer
Jennifer,Williams,Lee-Martinez,09358 Matthew Lake Apt. 849,Jonesbury,New York,50372,Party over political responsibility especially some fight protect talk operation.,Margherita,2025-03-30,4,6 times,"Architectural technologist, pizza enthusiast","2024-10-03, 2024-05-10 - 2025-03-30","Architectural technologist, pizza enthusiast. Contacted via Online Chat 6 times. Outcome: Pending Response. Ordered 4x Margherita on 2024-10-03.",Online Chat,6,Pending Response
Edward,Gardner,Long Group,28274 Victoria Ridge Apt. 642,North Dianafort,New Mexico,55537,Five issue around chance let together only common something.,Veggie Delight,2025-03-27,5,7 times,"Midwife, pizza enthusiast","2025-02-26, 2023-06-19 - 2025-03-27","Midwife, pizza enthusiast. Contacted via In-Person 7 times. Outcome: Pending Response. Ordered 5x Veggie Delight on 2025-02-26.",In-Person,7,Pending Response
Marco,Sanchez,Ortiz-Brown,6928 Ramirez Camp Apt. 259,Kaiserton,Kansas,29813,Nature phone bank standard interest opportunity score brother.,BBQ Chicken,2025-02-26,2,6 times,"Pharmacist, hospital, pizza enthusiast","2024-12-25, 2023-11-29 - 2025-02-26","Pharmacist, hospital, pizza enthusiast. Contacted via Email 6 times. Outcome: No Reply. Ordered 2x BBQ Chicken on 2024-12-25.",Email,6,No Reply
Teresa,Ellis,"Jackson, Smith and Dixon",1044 John Haven Suite 567,Shannonhaven,Minnesota,42571,Bill action glass employee enough successful.,Hawaiian,2024-10-31,2,3 times,"Doctor, general practice, pizza enthusiast","2024-10-11, 2023-07-20 - 2024-10-31","Doctor, general practice, pizza enthusiast. Contacted via Email 3 times. Outcome: Pending Response. Ordered 2x Hawaiian on 2024-10-11.",Email,3,Pending Response
Margaret,Boyd,Nunez and Sons,05480 Glover Fork Suite 985,Monicaville,Nevada,88381,Represent manage concern manage range school oil new see join whether social treatment.,Margherita,2024-06-23,5,1 times,"Mudlogger, pizza enthusiast","2024-06-20, 2023-12-26 - 2024-06-23","Mudlogger, pizza enthusiast. Contacted via In-Person 1 times. Outcome: Scheduled Pickup. Ordered 5x Margherita on 2024-06-20.",In-Person,1,Scheduled Pickup
Kimberly,Nelson,Vincent Group,691 Nathan Crescent Apt. 052,New Carolinetown,Minnesota,49064,Lead group price kind company nearly artist whatever.,Hawaiian,2025-02-03,5,2 times,"Radiographer, diagnostic, pizza enthusiast","2024-07-20, 2023-12-25 - 2025-02-03","Radiographer, diagnostic, pizza enthusiast. Contacted via Online Chat 2 times. Outcome: No Reply. Ordered 5x Hawaiian on 2024-07-20.",Online Chat,2,No Reply
Kathryn,Robinson,"Kemp, Ruiz and Smith",6246 Norman Wall Suite 894,Williamview,Nebraska,67202,Probably start customer professional course team democratic build water clear technology whole.,Margherita,2025-03-08,5,2 times,"Financial manager, pizza enthusiast","2024-12-22, 2023-05-12 - 2025-03-08","Financial manager, pizza enthusiast. Contacted via Email 2 times. Outcome: Ordered Again. Ordered 5x Margherita on 2024-12-22.",Email,2,Ordered Again
Derek,Santiago,"Walker, Pena and Brown",8753 Dan Place,Lorichester,Iowa,56390,Find structure result back question heavy program arrive knowledge themselves audience eight.,Meat Lovers,2024-12-05,5,7 times,"Osteopath, pizza enthusiast","2024-10-05, 2024-08-12 - 2024-12-05","Osteopath, pizza enthusiast. Contacted via Email 7 times. Outcome: Requested Offer. Ordered 5x Meat Lovers on 2024-10-05.",Email,7,Requested Offer
Angela,Johnson,Floyd-Patterson,641 David Rapid Suite 648,Oliverberg,Wisconsin,62958,Worry that administration public indeed you government center air mission ago.,Margherita,2024-10-30,5,5 times,"Dispensing optician, pizza enthusiast","2024-10-20, 2024-01-26 - 2024-10-30","Dispensing optician, pizza enthusiast. Contacted via Call 5 times. Outcome: No Reply. Ordered 5x Margherita on 2024-10-20.",Call,5,No Reply
Harold,Stewart,"Newton, Russo and Campbell",535 Matthew Groves Apt. 134,Banksberg,Arkansas,26517,Catch much win according change each mouth lead nor federal account.,Margherita,2024-07-23,3,4 times,"Risk manager, pizza enthusiast","2024-06-02, 2024-03-11 - 2024-07-23","Risk manager, pizza enthusiast. Contacted via Call 4 times. Outcome: Ordered Again. Ordered 3x Margherita on 2024-06-02.",Call,4,Ordered Again
Jessica,Parker,Brown Inc,0464 Teresa Groves Apt. 066,Walshmouth,Minnesota,99917,Court save maybe positive fight six.,Meat Lovers,2025-04-06,1,7 times,"Probation officer, pizza enthusiast","2024-12-14, 2024-05-02 - 2025-04-06","Probation officer, pizza enthusiast. Contacted via Online Chat 7 times. Outcome: Pending Response. Ordered 1x Meat Lovers on 2024-12-14.",Online Chat,7,Pending Response
Destiny,Taylor,Long Ltd,0858 Carey Walk Apt. 584,Gonzalesfurt,Washington,34839,Within voice movie red type thousand recently animal feel walk.,Pepperoni,2024-07-27,5,6 times,"Psychotherapist, dance movement, pizza enthusiast","2024-05-05, 2024-01-29 - 2024-07-27","Psychotherapist, dance movement, pizza enthusiast. Contacted via SMS 6 times. Outcome: Ordered Again. Ordered 5x Pepperoni on 2024-05-05.",SMS,6,Ordered Again
Brandon,Walters,Morgan Group,578 Stephen Union Suite 484,North Christinaland,Nevada,84388,Term quality product service these vote value series skin company.,Cheese Burst,2025-03-28,1,5 times,"Pharmacologist, pizza enthusiast","2024-09-25, 2023-07-22 - 2025-03-28","Pharmacologist, pizza enthusiast. Contacted via Online Chat 5 times. Outcome: Ordered Again. Ordered 1x Cheese Burst on 2024-09-25.",Online Chat,5,Ordered Again
Karina,Thomas,Sweeney-Salas,73077 Simpson Via,Adrianberg,Michigan,97397,Yes election road above front station single remain.,Cheese Burst,2025-03-02,5,2 times,"Technical author, pizza enthusiast","2025-02-08, 2024-02-20 - 2025-03-02","Technical author, pizza enthusiast. Contacted via Online Chat 2 times. Outcome: No Reply. Ordered 5x Cheese Burst on 2025-02-08.",Online Chat,2,No Reply
Lisa,Schwartz,Powell-Hill,43238 Heather Point,Lake Mary,Pennsylvania,80891,Figure performance minute war throw seem send listen instead nature war or similar.,Margherita,2025-03-21,3,4 times,"Legal secretary, pizza enthusiast","2024-10-24, 2023-12-29 - 2025-03-21","Legal secretary, pizza enthusiast. Contacted via Email 4 times. Outcome: No Reply. Ordered 3x Margherita on 2024-10-24.",Email,4,No Reply
Nathan,Garcia,Gallagher-Walton,008 Davis Ferry,Lukeburgh,North Carolina,74851,Behavior bring party game fast east it bring yard.,Meat Lovers,2025-02-15,4,5 times,"Ergonomist, pizza enthusiast","2025-02-05, 2023-10-16 - 2025-02-15","Ergonomist, pizza enthusiast. Contacted via Call 5 times. Outcome: Requested Offer. Ordered 4x Meat Lovers on 2025-02-05.",Call,5,Requested Offer
Evan,Little,"Valdez, Alexander and Smith",14438 Nichols Parkways Suite 423,Leslieville,Massachusetts,32005,Article that easy reflect special bill trial young field require of center.,Hawaiian,2025-03-12,2,6 times,"Economist, pizza enthusiast","2025-01-05, 2023-07-13 - 2025-03-12","Economist, pizza enthusiast. Contacted via Call 6 times. Outcome: Ordered Again. Ordered 2x Hawaiian on 2025-01-05.",Call,6,Ordered Again
Carolyn,Porter,"Meyer, Garza and Santos",29295 Kenneth Estate Suite 228,New Thomas,Florida,61458,She language person Republican then wide moment season study ok either worry.,Margherita,2024-08-31,4,10 times,"Surgeon, pizza enthusiast","2024-08-10, 2023-12-28 - 2024-08-31","Surgeon, pizza enthusiast. Contacted via Call 10 times. Outcome: Scheduled Pickup. Ordered 4x Margherita on 2024-08-10.",Call,10,Scheduled Pickup
Jimmy,Lee,Chambers-Kidd,8706 Patel Inlet,Courtneyburgh,California,31912,Evening first peace run beat total reach attack.,Pepperoni,2025-02-21,5,9 times,"Mental health nurse, pizza enthusiast","2024-09-26, 2024-08-13 - 2025-02-21","Mental health nurse, pizza enthusiast. Contacted via Email 9 times. Outcome: Ordered Again. Ordered 5x Pepperoni on 2024-09-26.",Email,9,Ordered Again
Rebecca,Edwards,Delgado and Sons,9641 Erica Islands,Sanchezborough,Mississippi,10423,Add whose away measure still white painting.,Pepperoni,2025-03-19,5,1 times,"Conservator, museum/gallery, pizza enthusiast","2024-11-22, 2023-08-25 - 2025-03-19","Conservator, museum/gallery, pizza enthusiast. Contacted via Online Chat 1 times. Outcome: Scheduled Pickup. Ordered 5x Pepperoni on 2024-11-22.",Online Chat,1,Scheduled Pickup
Ashley,Smith,"Valdez, Wright and Miller",69302 Michelle Canyon Apt. 941,Wolfshire,Kansas,61995,Feel staff guess general skin message.,Cheese Burst,2025-04-16,5,4 times,"Medical sales representative, pizza enthusiast","2025-04-13, 2024-10-01 - 2025-04-16","Medical sales representative, pizza enthusiast. Contacted via In-Person 4 times. Outcome: Requested Offer. Ordered 5x Cheese Burst on 2025-04-13.",In-Person,4,Requested Offer
Phyllis,Hill,Richmond PLC,71309 Angela Island,South Jonathan,Tennessee,47104,Main key public film hair experience talk sense send ten close water.,Pepperoni,2025-03-29,3,9 times,"Pilot, airline, pizza enthusiast","2025-03-15, 2023-05-17 - 2025-03-29","Pilot, airline, pizza enthusiast. Contacted via SMS 9 times. Outcome: No Reply. Ordered 3x Pepperoni on 2025-03-15.",SMS,9,No Reply
Matthew,Brooks,"Carroll, Pugh and Humphrey",2357 Campbell Overpass Apt. 464,Corymouth,West Virginia,21889,Property company campaign Democrat effort statement science fact tell finally receive.,Veggie Delight,2025-03-30,2,3 times,"Engineer, water, pizza enthusiast","2024-09-21, 2023-08-30 - 2025-03-30","Engineer, water, pizza enthusiast. Contacted via SMS 3 times. Outcome: Ordered Again. Ordered 2x Veggie Delight on 2024-09-21.",SMS,3,Ordered Again
Melissa,Pratt,"Brown, Wood and Dunlap",05547 Tammy Parks,Hernandezhaven,Idaho,07171,Game five risk produce build east expert movie thank white positive reason computer.,Hawaiian,2024-09-09,5,4 times,"Television floor manager, pizza enthusiast","2024-07-04, 2023-09-22 - 2024-09-09","Television floor manager, pizza enthusiast. Contacted via Email 4 times. Outcome: No Reply. Ordered 5x Hawaiian on 2024-07-04.",Email,4,No Reply
Karen,Mitchell,"Lloyd, Morrow and Martinez",56413 Mcclain Lake,West Ericland,Idaho,26745,Issue may stand force rate audience research across third.,Margherita,2024-11-13,3,6 times,"Fashion designer, pizza enthusiast","2024-08-24, 2023-04-26 - 2024-11-13","Fashion designer, pizza enthusiast. Contacted via Call 6 times. Outcome: Pending Response. Ordered 3x Margherita on 2024-08-24.",Call,6,Pending Response
Sandra,Blevins,"Robbins, Clark and Mccann",02863 Tiffany Course,Ryanchester,Colorado,67818,Mission happen open special safe run toward build traditional.,Meat Lovers,2024-11-05,2,1 times,"Scientist, biomedical, pizza enthusiast","2024-10-15, 2023-11-23 - 2024-11-05","Scientist, biomedical, pizza enthusiast. Contacted via Email 1 times. Outcome: Requested Offer. Ordered 2x Meat Lovers on 2024-10-15.",Email,1,Requested Offer
Janet,Wagner,"Castillo, Tapia and Hanson",62371 Christopher Fields Suite 614,Port Johnathanburgh,North Dakota,54167,Vote plan ball dream take movement.,BBQ Chicken,2024-12-05,1,8 times,"Hydrographic surveyor, pizza enthusiast","2024-12-03, 2023-10-09 - 2024-12-05","Hydrographic surveyor, pizza enthusiast. Contacted via Online Chat 8 times. Outcome: No Reply. Ordered 1x BBQ Chicken on 2024-12-03.",Online Chat,8,No Reply
Michelle,Young,Ruiz PLC,9898 Ford Lake,Zhanghaven,Iowa,42245,Base executive subject throughout certain choose democratic laugh he huge view question.,Veggie Delight,2025-04-21,2,6 times,"Fish farm manager, pizza enthusiast","2025-04-17, 2024-07-21 - 2025-04-21","Fish farm manager, pizza enthusiast. Contacted via Online Chat 6 times. Outcome: Requested Offer. Ordered 2x Veggie Delight on 2025-04-17.",Online Chat,6,Requested Offer
Mark,Taylor,"Stone, Dennis and Malone",120 Lynn Glens Suite 976,Edwardsbury,South Carolina,27200,Matter whether early imagine third happy interest same.,Veggie Delight,2025-01-13,3,7 times,"Wellsite geologist, pizza enthusiast","2024-07-05, 2024-05-23 - 2025-01-13","Wellsite geologist, pizza enthusiast. Contacted via Email 7 times. Outcome: No Reply. Ordered 3x Veggie Delight on 2024-07-05.",Email,7,No Reply
Melanie,Hawkins,Taylor and Sons,93821 Jennifer Stravenue Suite 113,Woodchester,Nebraska,90508,City forward market party mission purpose whom attorney always best pass.,Hawaiian,2025-04-11,4,9 times,"Food technologist, pizza enthusiast","2024-12-09, 2023-05-17 - 2025-04-11","Food technologist, pizza enthusiast. Contacted via SMS 9 times. Outcome: Requested Offer. Ordered 4x Hawaiian on 2024-12-09.",SMS,9,Requested Offer
Deanna,Carter,Cruz-Edwards,761 Barber Drive Suite 965,Justinside,Wyoming,88775,Collection front remember change read beautiful culture choice material significant quality.,Cheese Burst,2024-12-30,1,1 times,"Make, pizza enthusiast","2024-11-13, 2023-04-26 - 2024-12-30","Make, pizza enthusiast. Contacted via SMS 1 times. Outcome: Ordered Again. Ordered 1x Cheese Burst on 2024-11-13.",SMS,1,Ordered Again
Joe,Chavez,"Taylor, Taylor and Henry",904 Sheri Meadows Apt. 548,Tinamouth,California,36835,Network they spring act image wrong break dream itself finally.,Margherita,2024-06-14,1,8 times,"Colour technologist, pizza enthusiast","2024-04-27, 2023-09-23 - 2024-06-14","Colour technologist, pizza enthusiast. Contacted via Email 8 times. Outcome: Pending Response. Ordered 1x Margherita on 2024-04-27.",Email,8,Pending Response
Cody,Cruz,Ayala-Cole,0129 Mccormick Causeway Suite 446,West Donna,Florida,32932,Police maybe must put could behind nice why think yeah.,Meat Lovers,2025-04-12,3,10 times,"Engineer, aeronautical, pizza enthusiast","2025-03-20, 2024-04-16 - 2025-04-12","Engineer, aeronautical, pizza enthusiast. Contacted via SMS 10 times. Outcome: Pending Response. Ordered 3x Meat Lovers on 2025-03-20.",SMS,10,Pending Response
Anna,Hickman,"Forbes, Mcbride and Little",116 Robert Stravenue Apt. 402,New Patricia,Hawaii,79953,Physical decision arm fast worker speech want lay million.,Meat Lovers,2025-01-20,2,5 times,"Public affairs consultant, pizza enthusiast","2024-12-16, 2023-10-12 - 2025-01-20","Public affairs consultant, pizza enthusiast. Contacted via Online Chat 5 times. Outcome: Pending Response. Ordered 2x Meat Lovers on 2024-12-16.",Online Chat,5,Pending Response
Michael,Clayton,Clark Ltd,1160 Kevin Shoal Apt. 127,New Michelleview,West Virginia,86394,Red beat society computer various coach weight.,Meat Lovers,2025-01-16,5,3 times,"Sub, pizza enthusiast","2024-05-11, 2023-05-01 - 2025-01-16","Sub, pizza enthusiast. Contacted via Email 3 times. Outcome: Scheduled Pickup. Ordered 5x Meat Lovers on 2024-05-11.",Email,3,Scheduled Pickup
Christine,Andrews,Rivera-Nguyen,364 Lopez Spur,East Mindy,Illinois,83241,Concern million hotel term recent road tell whose.,Margherita,2025-04-11,3,5 times,"Engineer, manufacturing systems, pizza enthusiast","2025-02-01, 2024-04-28 - 2025-04-11","Engineer, manufacturing systems, pizza enthusiast. Contacted via SMS 5 times. Outcome: No Reply. Ordered 3x Margherita on 2025-02-01.",SMS,5,No Reply
Larry,Garcia,Santos Inc,690 Beck Court,Port Christopherhaven,Ohio,94328,I compare five information since stay discover threat movement.,Pepperoni,2025-02-09,5,10 times,"Multimedia specialist, pizza enthusiast","2025-01-24, 2024-02-06 - 2025-02-09","Multimedia specialist, pizza enthusiast. Contacted via Online Chat 10 times. Outcome: No Reply. Ordered 5x Pepperoni on 2025-01-24.",Online Chat,10,No Reply
Alexander,Edwards,"Taylor, Gregory and Wise",974 Debra Curve,Port Elizabethside,Kansas,15622,Appear international over crime change movie provide direction executive on son especially.,Cheese Burst,2025-04-07,5,1 times,"Tax adviser, pizza enthusiast","2025-03-19, 2024-06-20 - 2025-04-07","Tax adviser, pizza enthusiast. Contacted via In-Person 1 times. Outcome: No Reply. Ordered 5x Cheese Burst on 2025-03-19.",In-Person,1,No Reply
James,Schmidt,"Harmon, King and Atkins",699 Kemp Neck,Lake Allisonland,Illinois,84311,Window production hospital thousand attorney pattern want edge anything rich state loss mean.,BBQ Chicken,2025-02-22,4,7 times,"Chartered accountant, pizza enthusiast","2024-10-02, 2023-08-26 - 2025-02-22","Chartered accountant, pizza enthusiast. Contacted via Email 7 times. Outcome: Scheduled Pickup. Ordered 4x BBQ Chicken on 2024-10-02.",Email,7,Scheduled Pickup
Kelly,Robinson,Davis-Fitzpatrick,98428 Brown Well,South Markhaven,North Dakota,13339,Job appear college accept his bank show to least.,Cheese Burst,2024-08-05,1,2 times,"Pathologist, pizza enthusiast","2024-05-11, 2024-01-10 - 2024-08-05","Pathologist, pizza enthusiast. Contacted via SMS 2 times. Outcome: Scheduled Pickup. Ordered 1x Cheese Burst on 2024-05-11.",SMS,2,Scheduled Pickup
Tamara,Miller,Fry PLC,52950 Kelly Ford,Lopezview,Oklahoma,86212,School oil lay fear probably thus drop the green property yourself.,Hawaiian,2025-02-25,2,6 times,"Photographer, pizza enthusiast","2025-02-24, 2024-01-17 - 2025-02-25","Photographer, pizza enthusiast. Contacted via SMS 6 times. Outcome: Scheduled Pickup. Ordered 2x Hawaiian on 2025-02-24.",SMS,6,Scheduled Pickup
