First Name,Last Name,Business Name,Street Address,City,State,Zip Code,Scraped Info,Purchase Item,Purchase Date,Purchase Quantity,Client Type,Customer Profile,"Date, First Purchase - Last Purchase",Customer Summary,Model of Communication,Frequency,Outcome
Sheri,Romero,Hale-Norris,3577 Jeffrey Mill,Cathyshire,New Hampshire,23906,Open group either determine vote each protect source himself just.,Hair Coloring,2025-04-04,72,Occasional,"Records manager, with interest in beauty salon","2025-02-28, 2023-11-17 - 2025-04-04","Records manager, with interest in beauty salon. Engaged via Called, Occasional frequency. Outcome: Signed Up. Purchased: 72 units of Hair Coloring on 2025-02-28.",Called,Occasional,Signed Up
Paul,Callahan,"Simmons, Mcintosh and Perez",16988 Tracy Cape,Rhondaland,Pennsylvania,70036,Require everybody we yourself several social up position draw dream authority.,Facial,2025-03-27,31,One-time,"Scientist, research (maths), with interest in beauty salon","2024-12-29, 2023-12-21 - 2025-03-27","Scientist, research (maths), with interest in beauty salon. Engaged via Called, One-time frequency. Outcome: Scheduled Appointment. Purchased: 31 units of Facial on 2024-12-29.",Called,One-time,Scheduled Appointment
Miranda,Steele,Flores Inc,8423 Lisa Mountain Apt. 982,North Adam,Arizona,30565,Great north stay level music while wrong want whether someone.,Manicure,2024-06-22,98,Frequent,"Therapist, speech and language, with interest in beauty salon","2023-07-29, 2022-05-20 - 2024-06-22","Therapist, speech and language, with interest in beauty salon. Engaged via Emailed, Frequent frequency. Outcome: Pending Decision. Purchased: 98 units of Manicure on 2023-07-29.",Emailed,Frequent,Pending Decision
Nicholas,Gregory,Beard-Lopez,70870 Natalie Center,South Michaeltown,Georgia,72052,Ready run professional church long see represent maintain.,Hair Coloring,2024-04-12,25,Occasional,"Scientist, research (physical sciences), with interest in beauty salon","2023-08-23, 2023-05-13 - 2024-04-12","Scientist, research (physical sciences), with interest in beauty salon. Engaged via Emailed, Occasional frequency. Outcome: Pending Decision. Purchased: 25 units of Hair Coloring on 2023-08-23.",Emailed,Occasional,Pending Decision
Brandon,Gonzalez,Stout-Davidson,863 April Fords,Mcneilmouth,New Mexico,58606,None continue understand study black network protect resource respond.,Facial,2025-04-05,56,One-time,"Accountant, chartered certified, with interest in beauty salon","2025-04-04, 2024-07-01 - 2025-04-05","Accountant, chartered certified, with interest in beauty salon. Engaged via Called, One-time frequency. Outcome: Scheduled Appointment. Purchased: 56 units of Facial on 2025-04-04.",Called,One-time,Scheduled Appointment
Cody,Higgins,"Andrews, Hall and Murphy",18139 Tapia Flat,Gibsonchester,Massachusetts,36962,End other ask lawyer until sometimes fish most seven cost style.,Manicure,2024-05-19,22,One-time,"Sales professional, IT, with interest in beauty salon","2023-12-18, 2023-01-13 - 2024-05-19","Sales professional, IT, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Pending Decision. Purchased: 22 units of Manicure on 2023-12-18.",Meeting Set Up,One-time,Pending Decision
Kimberly,Hernandez,Miller-Roberts,836 Kristin Center Apt. 714,South Mitchellshire,Ohio,01357,Eight ability than fly most government treatment even adult happen read.,Hair Coloring,2025-02-25,47,Frequent,"Energy manager, with interest in beauty salon","2025-01-12, 2022-07-22 - 2025-02-25","Energy manager, with interest in beauty salon. Engaged via Meeting Set Up, Frequent frequency. Outcome: Scheduled Appointment. Purchased: 47 units of Hair Coloring on 2025-01-12.",Meeting Set Up,Frequent,Scheduled Appointment
Brian,Lamb,Howard-Juarez,24769 Nguyen Shoals,Mejiamouth,Arizona,99483,Southern these participant simply serve against.,Manicure,2025-02-01,81,One-time,"Warehouse manager, with interest in beauty salon","2023-11-22, 2023-05-24 - 2025-02-01","Warehouse manager, with interest in beauty salon. Engaged via Called, One-time frequency. Outcome: Pending Decision. Purchased: 81 units of Manicure on 2023-11-22.",Called,One-time,Pending Decision
Tammy,Berry,"Parker, Garcia and Watson",3470 Anthony Estates,New James,Vermont,77893,Lose become word let item back.,Manicure,2024-07-12,76,One-time,"Public librarian, with interest in beauty salon","2024-02-14, 2022-05-10 - 2024-07-12","Public librarian, with interest in beauty salon. Engaged via Emailed, One-time frequency. Outcome: Scheduled Appointment. Purchased: 76 units of Manicure on 2024-02-14.",Emailed,One-time,Scheduled Appointment
Susan,Nelson,Rose Group,790 April Ferry Suite 554,Melissaview,Indiana,85575,Be husband Mrs not concern doctor.,Facial,2025-04-05,11,Occasional,"Production assistant, radio, with interest in beauty salon","2025-02-26, 2025-01-26 - 2025-04-05","Production assistant, radio, with interest in beauty salon. Engaged via Meeting Set Up, Occasional frequency. Outcome: Pending Decision. Purchased: 11 units of Facial on 2025-02-26.",Meeting Set Up,Occasional,Pending Decision
James,Kim,Wilson-Valdez,60483 Michael Ford,Ruizview,Texas,88088,Skin turn sound become future husband audience director away fire.,Haircut,2023-07-04,98,One-time,"Immunologist, with interest in beauty salon","2023-06-05, 2023-04-08 - 2023-07-04","Immunologist, with interest in beauty salon. Engaged via Emailed, One-time frequency. Outcome: Signed Up. Purchased: 98 units of Haircut on 2023-06-05.",Emailed,One-time,Signed Up
Sarah,Murphy,"Wilson, Schmidt and Young",20253 Mark Expressway Suite 143,Lake Michellemouth,Connecticut,58499,Ability true world apply memory prepare cell.,Hair Coloring,2025-04-11,57,Frequent,"Paramedic, with interest in beauty salon","2025-04-09, 2022-07-11 - 2025-04-11","Paramedic, with interest in beauty salon. Engaged via Called, Frequent frequency. Outcome: Signed Up. Purchased: 57 units of Hair Coloring on 2025-04-09.",Called,Frequent,Signed Up
Stephanie,Price,Holt-Larson,8371 Michael Expressway,Jacksonbury,Oregon,43163,These pattern Mrs ability scene fly.,Haircut,2024-05-01,95,One-time,"Production assistant, television, with interest in beauty salon","2024-04-15, 2024-02-23 - 2024-05-01","Production assistant, television, with interest in beauty salon. Engaged via Called, One-time frequency. Outcome: Not Interested. Purchased: 95 units of Haircut on 2024-04-15.",Called,One-time,Not Interested
Sandra,Martinez,"Garcia, Walker and Woods",62276 Duncan Station,Montgomeryfort,Idaho,42521,Pay management star design traditional positive.,Facial,2024-07-30,44,One-time,"Charity fundraiser, with interest in beauty salon","2023-10-29, 2023-05-27 - 2024-07-30","Charity fundraiser, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Pending Decision. Purchased: 44 units of Facial on 2023-10-29.",Meeting Set Up,One-time,Pending Decision
Christopher,Duncan,Rodriguez-Strong,325 Cynthia Summit,Jameshaven,Missouri,95824,Loss family stuff here whole organization morning.,Haircut,2025-04-21,15,Frequent,"Management consultant, with interest in beauty salon","2025-04-17, 2024-11-12 - 2025-04-21","Management consultant, with interest in beauty salon. Engaged via Responded, Frequent frequency. Outcome: Scheduled Appointment. Purchased: 15 units of Haircut on 2025-04-17.",Responded,Frequent,Scheduled Appointment
Morgan,Ellis,"Williams, Mathis and Chen",106 Spencer Pines,Smithfort,South Carolina,47179,Language into type player scene green follow debate fill campaign five one store.,Manicure,2025-03-14,34,One-time,"Media planner, with interest in beauty salon","2025-03-12, 2023-01-11 - 2025-03-14","Media planner, with interest in beauty salon. Engaged via Emailed, One-time frequency. Outcome: Signed Up. Purchased: 34 units of Manicure on 2025-03-12.",Emailed,One-time,Signed Up
Isaac,Wilson,Jones-Choi,2752 Jasmine Ranch Suite 107,Gillchester,Wisconsin,99766,Whose change professor thank run girl same ground challenge.,Manicure,2025-03-06,55,One-time,"Restaurant manager, with interest in beauty salon","2025-01-29, 2022-09-05 - 2025-03-06","Restaurant manager, with interest in beauty salon. Engaged via Emailed, One-time frequency. Outcome: Signed Up. Purchased: 55 units of Manicure on 2025-01-29.",Emailed,One-time,Signed Up
Caroline,Thomas,Wallace Inc,0343 Cantrell Views Apt. 240,Tylerport,Tennessee,89953,Whatever network themselves after performance edge agree stay rise move less bank cause.,Haircut,2024-10-14,15,Occasional,"Advertising account planner, with interest in beauty salon","2023-07-15, 2023-01-09 - 2024-10-14","Advertising account planner, with interest in beauty salon. Engaged via Called, Occasional frequency. Outcome: Pending Decision. Purchased: 15 units of Haircut on 2023-07-15.",Called,Occasional,Pending Decision
Cody,Kelly,"Jenkins, Poole and Nguyen",4194 Rachel Field,Holderview,Texas,86722,Season growth like morning south hour debate stock special beat big.,Manicure,2023-10-30,46,Frequent,"Programme researcher, broadcasting/film/video, with interest in beauty salon","2023-09-24, 2023-07-08 - 2023-10-30","Programme researcher, broadcasting/film/video, with interest in beauty salon. Engaged via Followed Up, Frequent frequency. Outcome: Signed Up. Purchased: 46 units of Manicure on 2023-09-24.",Followed Up,Frequent,Signed Up
Tony,Henry,"Smith, Taylor and Kim",1950 Christine Inlet,North Kyle,Alabama,32575,Left teacher tough develop direction west send land person explain.,Facial,2025-02-19,5,Occasional,"Patent attorney, with interest in beauty salon","2024-10-05, 2022-08-30 - 2025-02-19","Patent attorney, with interest in beauty salon. Engaged via Emailed, Occasional frequency. Outcome: Pending Decision. Purchased: 5 units of Facial on 2024-10-05.",Emailed,Occasional,Pending Decision
Matthew,Smith,"Gonzalez, Knight and Herman",32458 Jared Hill,Gonzalezport,South Dakota,47194,Garden collection service experience hair each wide response might throw only form line.,Haircut,2025-03-29,8,Occasional,"Primary school teacher, with interest in beauty salon","2025-03-22, 2024-01-20 - 2025-03-29","Primary school teacher, with interest in beauty salon. Engaged via Responded, Occasional frequency. Outcome: Not Interested. Purchased: 8 units of Haircut on 2025-03-22.",Responded,Occasional,Not Interested
Patrick,White,Kim Ltd,562 Steven Well,South Lisaport,New Jersey,28628,Ever eight country begin read feel treat later.,Haircut,2025-04-16,63,Frequent,"Farm manager, with interest in beauty salon","2025-04-15, 2023-04-18 - 2025-04-16","Farm manager, with interest in beauty salon. Engaged via Responded, Frequent frequency. Outcome: Pending Decision. Purchased: 63 units of Haircut on 2025-04-15.",Responded,Frequent,Pending Decision
Theresa,Roberts,Good PLC,73249 Amy Neck Suite 593,Staceyside,Arizona,44825,House tend remember if third course player minute national.,Facial,2024-06-23,80,One-time,"Lobbyist, with interest in beauty salon","2024-01-06, 2022-05-24 - 2024-06-23","Lobbyist, with interest in beauty salon. Engaged via Responded, One-time frequency. Outcome: Signed Up. Purchased: 80 units of Facial on 2024-01-06.",Responded,One-time,Signed Up
Ashley,Rowland,"Mullen, Ross and Franklin",4348 Cooper Wall,New Crystalfort,Florida,27072,Feeling personal still learn medical although show middle during security staff that.,Facial,2024-08-18,44,One-time,"Clinical psychologist, with interest in beauty salon","2024-05-27, 2022-11-27 - 2024-08-18","Clinical psychologist, with interest in beauty salon. Engaged via Emailed, One-time frequency. Outcome: Pending Decision. Purchased: 44 units of Facial on 2024-05-27.",Emailed,One-time,Pending Decision
Cynthia,Richards,Martinez Group,4250 Jacob Fort Apt. 815,New Ronniechester,California,91661,Course special huge democratic four fear debate at as government.,Facial,2024-11-19,35,Frequent,"Location manager, with interest in beauty salon","2023-10-29, 2022-06-07 - 2024-11-19","Location manager, with interest in beauty salon. Engaged via Not Answered, Frequent frequency. Outcome: Requested Info. Purchased: 35 units of Facial on 2023-10-29.",Not Answered,Frequent,Requested Info
Kimberly,Blackwell,"Black, Bailey and Hicks",61012 Andrea Fall Suite 038,Ayalaland,New Jersey,84481,Want factor admit campaign arm arrive difficult person man prevent put history administration.,Haircut,2025-04-21,8,One-time,"Medical technical officer, with interest in beauty salon","2025-04-21, 2025-03-08 - 2025-04-21","Medical technical officer, with interest in beauty salon. Engaged via Called, One-time frequency. Outcome: Requested Info. Purchased: 8 units of Haircut on 2025-04-21.",Called,One-time,Requested Info
Brian,Cook,"Kaufman, Hill and Jones",7944 Flores Circle Apt. 001,East Paulborough,Nebraska,36395,Food significant cut news remember most hotel least sometimes style resource tree focus.,Haircut,2025-02-24,71,Occasional,"Actor, with interest in beauty salon","2024-11-17, 2023-12-20 - 2025-02-24","Actor, with interest in beauty salon. Engaged via Emailed, Occasional frequency. Outcome: Not Interested. Purchased: 71 units of Haircut on 2024-11-17.",Emailed,Occasional,Not Interested
Megan,Lambert,Scott and Sons,7758 Lopez Springs Apt. 155,Paynebury,Massachusetts,30633,Reach into big skill system finally stay.,Haircut,2025-04-05,6,Frequent,"Leisure centre manager, with interest in beauty salon","2024-12-31, 2023-01-11 - 2025-04-05","Leisure centre manager, with interest in beauty salon. Engaged via Called, Frequent frequency. Outcome: Signed Up. Purchased: 6 units of Haircut on 2024-12-31.",Called,Frequent,Signed Up
Priscilla,Harris,Long-Thomas,7982 Nicole Tunnel Apt. 956,New Micheleborough,Oklahoma,68992,Since plant site child good choice can.,Haircut,2024-12-13,7,Occasional,"Secretary, company, with interest in beauty salon","2024-06-06, 2022-09-22 - 2024-12-13","Secretary, company, with interest in beauty salon. Engaged via Responded, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 7 units of Haircut on 2024-06-06.",Responded,Occasional,Scheduled Appointment
Steven,Braun,"Williams, George and Castillo",5349 Mcgee Crossing Apt. 985,Martinmouth,Mississippi,71589,Everyone bank deal program store hotel how herself player indicate lot.,Hair Coloring,2024-10-18,36,One-time,"Research scientist (life sciences), with interest in beauty salon","2024-06-25, 2022-10-11 - 2024-10-18","Research scientist (life sciences), with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Pending Decision. Purchased: 36 units of Hair Coloring on 2024-06-25.",Meeting Set Up,One-time,Pending Decision
Erika,Morris,Allison-Nguyen,14023 Paul Valley,Lake Elizabeth,Montana,69186,Language someone without do expert amount president travel friend born eat only.,Manicure,2024-07-13,9,Frequent,"Graphic designer, with interest in beauty salon","2024-06-13, 2023-12-23 - 2024-07-13","Graphic designer, with interest in beauty salon. Engaged via Called, Frequent frequency. Outcome: Signed Up. Purchased: 9 units of Manicure on 2024-06-13.",Called,Frequent,Signed Up
Jennifer,Hill,Montgomery-Oconnor,048 Hall Estates Apt. 289,Hernandezstad,Illinois,35778,President general star finish world according now little our point past.,Hair Coloring,2024-02-23,74,One-time,"Financial manager, with interest in beauty salon","2023-09-06, 2023-06-04 - 2024-02-23","Financial manager, with interest in beauty salon. Engaged via Followed Up, One-time frequency. Outcome: Pending Decision. Purchased: 74 units of Hair Coloring on 2023-09-06.",Followed Up,One-time,Pending Decision
Rebecca,Peterson,"Mcintyre, Howard and Duncan",5595 Hale Mountains,South Marc,Massachusetts,02985,Hand everybody position always concern nor general white star community.,Hair Coloring,2024-06-11,7,Frequent,"Therapist, speech and language, with interest in beauty salon","2023-12-12, 2023-04-07 - 2024-06-11","Therapist, speech and language, with interest in beauty salon. Engaged via Called, Frequent frequency. Outcome: Pending Decision. Purchased: 7 units of Hair Coloring on 2023-12-12.",Called,Frequent,Pending Decision
Lisa,Watson,Gibbs Inc,440 Travis Pine Suite 351,Adamston,Florida,20764,Artist ball guy seat right live.,Manicure,2025-04-22,81,Frequent,"Theatre director, with interest in beauty salon","2025-04-22, 2023-12-05 - 2025-04-22","Theatre director, with interest in beauty salon. Engaged via Followed Up, Frequent frequency. Outcome: Pending Decision. Purchased: 81 units of Manicure on 2025-04-22.",Followed Up,Frequent,Pending Decision
Anthony,Dyer,"Maldonado, Curry and King",42202 Saunders Pike Suite 090,Ramirezberg,Michigan,47069,Society season sense these commercial idea a vote produce man couple affect class stock.,Haircut,2025-03-14,32,Occasional,"Phytotherapist, with interest in beauty salon","2025-02-23, 2024-03-10 - 2025-03-14","Phytotherapist, with interest in beauty salon. Engaged via Called, Occasional frequency. Outcome: Signed Up. Purchased: 32 units of Haircut on 2025-02-23.",Called,Occasional,Signed Up
Frances,Murray,"Johnson, Turner and Obrien",5324 Shaw Locks,Rodriguezton,Florida,01593,Turn dog kitchen cut floor official large two daughter law student approach air.,Haircut,2023-12-31,92,One-time,"Psychologist, counselling, with interest in beauty salon","2023-12-10, 2022-10-29 - 2023-12-31","Psychologist, counselling, with interest in beauty salon. Engaged via Called, One-time frequency. Outcome: Requested Info. Purchased: 92 units of Haircut on 2023-12-10.",Called,One-time,Requested Info
Joe,Lopez,"Odonnell, Sharp and Howard",954 Bernard Springs,Smithport,Minnesota,89479,Administration push late top strategy forget husband if perhaps make local.,Manicure,2025-03-24,62,One-time,"Microbiologist, with interest in beauty salon","2024-05-24, 2023-07-18 - 2025-03-24","Microbiologist, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Signed Up. Purchased: 62 units of Manicure on 2024-05-24.",Meeting Set Up,One-time,Signed Up
Craig,Carlson,"Hancock, Ward and Marshall",21084 Hamilton Ranch,Nguyenview,Alabama,51347,Play could mean partner cup most purpose key score education American.,Facial,2024-05-20,20,One-time,"Civil engineer, contracting, with interest in beauty salon","2024-05-17, 2023-09-17 - 2024-05-20","Civil engineer, contracting, with interest in beauty salon. Engaged via Responded, One-time frequency. Outcome: Signed Up. Purchased: 20 units of Facial on 2024-05-17.",Responded,One-time,Signed Up
Jorge,Massey,Duncan-Sutton,04596 Bennett Valley Suite 656,Solomonstad,Massachusetts,92642,Daughter so it where month beautiful series to should forget you which figure.,Facial,2025-02-02,93,One-time,"Financial risk analyst, with interest in beauty salon","2024-05-31, 2023-06-19 - 2025-02-02","Financial risk analyst, with interest in beauty salon. Engaged via Not Answered, One-time frequency. Outcome: Requested Info. Purchased: 93 units of Facial on 2024-05-31.",Not Answered,One-time,Requested Info
Bryan,Williams,Nielsen-Norton,4562 Thomas Pass,North Colleenville,Rhode Island,09662,True buy model agreement which exactly serve water whose executive.,Hair Coloring,2025-02-05,50,One-time,"Land, with interest in beauty salon","2025-01-10, 2022-08-01 - 2025-02-05","Land, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Scheduled Appointment. Purchased: 50 units of Hair Coloring on 2025-01-10.",Meeting Set Up,One-time,Scheduled Appointment
Lindsey,Mahoney,Jackson Ltd,47080 Sara Radial,Farrellmouth,South Carolina,71670,What defense ok sport recent drop young.,Hair Coloring,2025-02-18,38,Occasional,"Higher education careers adviser, with interest in beauty salon","2025-02-18, 2025-02-04 - 2025-02-18","Higher education careers adviser, with interest in beauty salon. Engaged via Called, Occasional frequency. Outcome: Scheduled Appointment. Purchased: 38 units of Hair Coloring on 2025-02-18.",Called,Occasional,Scheduled Appointment
Corey,Wilson,Rosario LLC,089 Catherine Divide,North Amber,Louisiana,54974,What network Republican time course become sort stage fast.,Facial,2025-04-13,50,One-time,"Psychotherapist, child, with interest in beauty salon","2024-07-27, 2023-09-21 - 2025-04-13","Psychotherapist, child, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Requested Info. Purchased: 50 units of Facial on 2024-07-27.",Meeting Set Up,One-time,Requested Info
Michael,Palmer,"Martinez, Cunningham and Lawson",5068 Diaz Meadow Apt. 933,West Cristinaview,Texas,73615,Assume shoulder radio cold mission bag person effect wall because affect according term.,Haircut,2025-01-30,94,Frequent,"Television production assistant, with interest in beauty salon","2023-08-24, 2023-03-04 - 2025-01-30","Television production assistant, with interest in beauty salon. Engaged via Not Answered, Frequent frequency. Outcome: Scheduled Appointment. Purchased: 94 units of Haircut on 2023-08-24.",Not Answered,Frequent,Scheduled Appointment
Thomas,Allen,Ashley Ltd,5350 Simmons Mount Suite 402,Sharonberg,Hawaii,14213,Nothing long war civil evening bed.,Hair Coloring,2025-01-01,8,Occasional,"Meteorologist, with interest in beauty salon","2024-12-02, 2023-03-09 - 2025-01-01","Meteorologist, with interest in beauty salon. Engaged via Not Answered, Occasional frequency. Outcome: Pending Decision. Purchased: 8 units of Hair Coloring on 2024-12-02.",Not Answered,Occasional,Pending Decision
John,Cunningham,Holland Group,70532 Bennett Club,Lake April,Iowa,70399,Manager involve admit usually other project yet body.,Manicure,2025-03-17,88,One-time,"Building services engineer, with interest in beauty salon","2025-02-01, 2024-01-13 - 2025-03-17","Building services engineer, with interest in beauty salon. Engaged via Not Answered, One-time frequency. Outcome: Signed Up. Purchased: 88 units of Manicure on 2025-02-01.",Not Answered,One-time,Signed Up
Tiffany,Cameron,"Watts, Ward and Walker",9862 Rebecca Bridge Suite 868,Webbfort,Rhode Island,40195,Tree across become still he trip treatment high star check down opportunity long.,Hair Coloring,2024-11-22,68,One-time,"Geophysicist/field seismologist, with interest in beauty salon","2023-05-04, 2022-10-13 - 2024-11-22","Geophysicist/field seismologist, with interest in beauty salon. Engaged via Meeting Set Up, One-time frequency. Outcome: Scheduled Appointment. Purchased: 68 units of Hair Coloring on 2023-05-04.",Meeting Set Up,One-time,Scheduled Appointment
James,Moyer,"Mullins, Scott and Knight",031 Brown Lock Apt. 345,Riverahaven,Indiana,51921,Clearly cold go this deal heavy majority fear put factor.,Manicure,2024-09-08,45,Frequent,"Clinical research associate, with interest in beauty salon","2024-02-20, 2022-05-23 - 2024-09-08","Clinical research associate, with interest in beauty salon. Engaged via Called, Frequent frequency. Outcome: Signed Up. Purchased: 45 units of Manicure on 2024-02-20.",Called,Frequent,Signed Up
Rebecca,Perez,Green-Mata,291 Ryan Tunnel Suite 343,Oconnorside,Florida,52687,Positive office team name color price sell finally let measure thus most.,Hair Coloring,2024-09-08,82,Frequent,"IT trainer, with interest in beauty salon","2024-01-17, 2022-10-11 - 2024-09-08","IT trainer, with interest in beauty salon. Engaged via Not Answered, Frequent frequency. Outcome: Requested Info. Purchased: 82 units of Hair Coloring on 2024-01-17.",Not Answered,Frequent,Requested Info
Bobby,Campbell,Herring and Sons,059 Daniel Views Suite 047,East Amandahaven,Vermont,67889,Any call feel walk station especially she director pressure floor feeling.,Facial,2025-01-09,84,Frequent,"Field trials officer, with interest in beauty salon","2024-10-09, 2023-03-27 - 2025-01-09","Field trials officer, with interest in beauty salon. Engaged via Responded, Frequent frequency. Outcome: Pending Decision. Purchased: 84 units of Facial on 2024-10-09.",Responded,Frequent,Pending Decision
Joseph,Young,"Bailey, Moreno and Navarro",7031 Campos Loop Apt. 425,West Kennethport,Georgia,05586,Feel together difference dream network hair traditional green team political bar none trial.,Haircut,2025-04-09,86,One-time,"Music therapist, with interest in beauty salon","2024-12-01, 2024-10-09 - 2025-04-09","Music therapist, with interest in beauty salon. Engaged via Followed Up, One-time frequency. Outcome: Signed Up. Purchased: 86 units of Haircut on 2024-12-01.",Followed Up,One-time,Signed Up
Matthew,Mills,Bailey-Thomas,29855 Jesse Path Suite 911,Joshuaborough,Georgia,21164,Step easy under simple husband similar home force everybody article adult.,Manicure,2025-04-15,65,Occasional,"Chiropractor, with interest in beauty salon","2025-04-07, 2022-11-14 - 2025-04-15","Chiropractor, with interest in beauty salon. Engaged via Meeting Set Up, Occasional frequency. Outcome: Signed Up. Purchased: 65 units of Manicure on 2025-04-07.",Meeting Set Up,Occasional,Signed Up
Anne,Wilson,"Moore, Moyer and Martin",160 David Circle Suite 537,Lake Lindsey,Oklahoma,79132,Defense different capital throw avoid use significant society against she win night.,Manicure,2024-08-05,78,One-time,"Heritage manager, with interest in beauty salon","2024-03-22, 2022-04-28 - 2024-08-05","Heritage manager, with interest in beauty salon. Engaged via Responded, One-time frequency. Outcome: Scheduled Appointment. Purchased: 78 units of Manicure on 2024-03-22.",Responded,One-time,Scheduled Appointment
